Country,Continent,Year,Infectious_disease,CasesTotal,Deaths,CLIMATIC,CONFLICTS,ECOLOGICAL,ECONOMIC,GEOPHYSICAL,TECHNOLOGICAL,outbreak,CLIMATIC_lag_avg,CLIMATIC_lead_avg,CONFLICTS_lag_avg,CONFLICTS_lead_avg,ECOLOGICAL_lag_avg,ECOLOGICAL_lead_avg,ECONOMIC_lag_avg,ECONOMIC_lead_avg,GEOPHYSICAL_lag_avg,GEOPHYSICAL_lead_avg,TECHNOLOGICAL_lag_avg,TECHNOLOGICAL_lead_avg,outbreak_lag_avg,outbreak_lead_avg
Serbia,Europe,1991,0,0,0,-1.7975086138351444,-17.67479459316194,0.0,1.4627617280678504,0.0,-1.5926318579379803,0,-1.735189814814815,-1.8878240740740742,-18.203694444444444,-23.109240740740738,-0.04281481481481481,-0.04489351851851852,0.41287037037037044,-0.08808333333333335,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.621773148148148,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1992,0,0,0,-1.7975086138351444,-16.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.735189814814815,-1.8878240740740742,-16.203694444444444,-20.509240740740736,-0.04281481481481481,-0.04489351851851852,0.9128703703703704,0.11191666666666661,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.621773148148148,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1993,0,0,0,-1.7975086138351444,-20.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.735189814814815,-1.8878240740740742,-15.203694444444444,-16.109240740740738,-0.04281481481481481,-0.04489351851851852,0.41287037037037044,0.3119166666666667,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.4217731481481481,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1994,0,0,0,-1.7975086138351444,-23.67479459316194,0.0,-0.5372382719321495,0.0,-1.5926318579379803,0,-1.735189814814815,-1.6878240740740742,-15.703694444444444,-13.509240740740738,-0.04281481481481481,-0.04489351851851852,0.16287037037037044,0.5119166666666666,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.4217731481481481,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1995,0,0,0,-1.7975086138351444,-22.67479459316194,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.735189814814815,-1.4878240740740742,-16.603694444444443,-12.309240740740739,-0.04281481481481481,-0.04489351851851852,0.01287037037037042,0.7119166666666665,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.4217731481481481,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1996,0,0,0,-1.7975086138351444,-15.674794593161941,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.735189814814815,-1.4878240740740742,-16.803694444444446,-11.909240740740739,-0.04281481481481481,-0.04489351851851852,0.01287037037037042,0.7119166666666665,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.4217731481481481,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1997,0,0,0,-1.7975086138351444,-3.6747945931619412,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.735189814814815,-1.4878240740740742,-16.403694444444444,-15.70924074074074,-0.04281481481481481,-0.04489351851851852,-0.18712962962962953,0.7119166666666665,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.4217731481481481,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1998,0,0,0,-1.7975086138351444,1.3252054068380588,0.0,0.46276172806785054,0.0,-0.5926318579379803,0,-1.735189814814815,-1.4878240740740742,-13.803694444444444,-19.70924074074074,-0.04281481481481481,-0.04489351851851852,0.01287037037037042,0.7119166666666665,-0.12205555555555556,-0.11505555555555556,-1.5992175925925927,-1.621773148148148,-0.23171296296296298,-0.260912037037037
Serbia,Europe,1999,0,0,0,-0.7975086138351444,-10.674794593161941,0.0,0.46276172806785054,0.0,-1.5926318579379803,0,-1.735189814814815,-1.6878240740740742,-9.403694444444444,-22.30924074074074,-0.04281481481481481,-0.04489351851851852,0.2128703703703705,0.7119166666666665,-0.12205555555555556,-0.11505555555555556,-1.3992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
Serbia,Europe,2000,0,0,0,-0.7975086138351444,-16.67479459316194,0.0,1.4627617280678504,0.0,-1.5926318579379803,0,-1.535189814814815,-1.8878240740740742,-6.803694444444444,-23.50924074074074,-0.04281481481481481,-0.04489351851851852,0.41287037037037044,0.5119166666666666,-0.12205555555555556,-0.11505555555555556,-1.3992175925925927,-1.621773148148148,-0.23171296296296298,-0.060912037037037015
